Date,Open,High,Low,Close,Adj Close,Volume
2008-12-29,1.902500,1.937500,1.780000,1.937500,1.778145,46016800
2008-12-30,1.962500,2.035000,1.917500,2.005000,1.840093,40986000
2008-12-31,1.980000,2.067500,1.945000,2.017500,1.851565,44158000
2009-01-02,2.017500,2.192500,2.010000,2.177500,1.998406,49712400
2009-01-05,2.152500,2.267500,2.137500,2.217500,2.035116,70573600
2009-01-06,2.282500,2.357500,2.232500,2.292500,2.103948,65790400
2009-01-07,2.240000,2.240000,2.077500,2.155000,1.977756,87009600
2009-01-08,2.127500,2.127500,1.970000,2.100000,1.927279,101449600
2009-01-09,2.100000,2.100000,1.977500,1.982500,1.819444,76135200
2009-01-12,1.982500,1.992500,1.875000,1.902500,1.746024,64553200
2009-01-13,1.837500,1.985000,1.802500,1.912500,1.755201,182442400
2009-01-14,1.845000,1.867500,1.800000,1.827500,1.677192,97490800
2009-01-15,1.837500,1.922500,1.800000,1.892500,1.736846,99820400
2009-01-16,1.945000,2.015000,1.882500,1.997500,1.833210,83132400
2009-01-20,1.992500,2.000000,1.787500,1.802500,1.654248,70578800
2009-01-21,1.837500,1.902500,1.770000,1.890000,1.734552,64847200
2009-01-22,1.830000,1.905000,1.787500,1.855000,1.702430,54765600
2009-01-23,1.802500,1.985000,1.800000,1.927500,1.768967,63361600
2009-01-26,1.937500,2.050000,1.905000,1.992500,1.828621,58174800
2009-01-27,2.025000,2.125000,2.017500,2.110000,1.936457,72530000
2009-01-28,2.185000,2.232500,2.115000,2.197500,2.016761,72375200
2009-01-29,2.125000,2.150000,2.060000,2.070000,1.899747,41312800
2009-01-30,2.055000,2.110000,1.962500,1.987500,1.824032,50676000
2009-02-02,1.957500,2.117500,1.947500,2.095000,1.922691,57799200
2009-02-03,2.100000,2.137500,2.042500,2.120000,1.945635,39694800
2009-02-04,2.125000,2.287500,2.125000,2.180000,2.000700,77923200
2009-02-05,2.122500,2.365000,2.100000,2.340000,2.147540,91919200
2009-02-06,2.347500,2.482500,2.307500,2.467500,2.264553,115788000
2009-02-09,2.457500,2.492500,2.367500,2.435000,2.234726,71612800
2009-02-10,2.432500,2.465000,2.285000,2.330000,2.138363,112966400
2009-02-11,2.145000,2.222500,1.965000,2.037500,1.869920,198340000
2009-02-12,1.992500,2.092500,1.965000,2.080000,1.908924,102402000
2009-02-13,2.032500,2.102500,2.017500,2.077500,1.906630,76430400
2009-02-17,2.000000,2.047500,1.950000,1.957500,1.796500,77957600
2009-02-18,1.957500,2.075000,1.955000,2.010000,1.844682,64625200
2009-02-19,2.050000,2.067500,1.855000,1.855000,1.702430,74398800
2009-02-20,1.830000,1.932500,1.812500,1.902500,1.746024,77005600
2009-02-23,1.935000,1.945000,1.802500,1.815000,1.665720,67954800
2009-02-24,1.825000,1.980000,1.822500,1.977500,1.814855,65952400
2009-02-25,1.972500,2.060000,1.905000,2.000000,1.835504,70236000
2009-02-26,2.070000,2.135000,2.040000,2.065000,1.895158,111755600
2009-02-27,2.012500,2.117500,1.997500,2.070000,1.899747,75544400
2009-03-02,2.020000,2.062500,1.887500,1.895000,1.739141,70006400
2009-03-03,1.930000,2.045000,1.867500,1.970000,1.807972,104137200
2009-03-04,2.022500,2.175000,2.005000,2.115000,1.941046,110866800
2009-03-05,2.085000,2.170000,2.055000,2.065000,1.895158,95525200
2009-03-06,2.065000,2.172500,2.037500,2.097500,1.924985,97475600
2009-03-09,2.082500,2.240000,2.070000,2.075000,1.904336,68276800
2009-03-10,2.150000,2.302500,2.130000,2.262500,2.076415,125480000
2009-03-11,2.262500,2.962500,2.225000,2.325000,2.133774,86491600
2009-03-12,2.317500,2.487500,2.287500,2.462500,2.259966,160460400
2009-03-13,2.427500,2.485000,2.387500,2.450000,2.248493,119515600
2009-03-16,2.475000,2.477500,2.335000,2.355000,2.161307,69934400
2009-03-17,2.362500,2.477500,2.332500,2.472500,2.269143,100538400
2009-03-18,2.435000,2.622500,2.432500,2.550000,2.340268,135956000
2009-03-19,2.567500,2.567500,2.502500,2.520000,2.312736,82264800
2009-03-20,2.557500,2.560000,2.317500,2.382500,2.186545,109367200
2009-03-23,2.457500,2.560000,2.402500,2.555000,2.344857,81604800
2009-03-24,2.492500,2.515000,2.432500,2.445000,2.243904,111486800
2009-03-25,2.520000,2.600000,2.390000,2.485000,2.280615,124385200
2009-03-26,2.525000,2.645000,2.497500,2.640000,2.422866,133366400
